"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"Mississippi",NA,"Past",2020-03-12,"actual_cumulative_cases",NA,NA,NA,1,NA,NA,NA,NA
"Mississippi",NA,"Past",2020-03-12,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Mississippi",NA,"Past",2020-03-12,"actual_daily_cases",NA,NA,NA,1,NA,NA,NA,NA
"Mississippi",NA,"Past",2020-03-12,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Mississippi","linear_increase_sd","Past",2020-03-12,"combined_trend",NA,NA,NA,0.952372740782937,NA,NA,NA,NA
"Mississippi","return_normal","Past",2020-03-12,"combined_trend",NA,NA,NA,0.952372740782937,NA,NA,NA,NA
"Mississippi","status_quo","Past",2020-03-12,"combined_trend",NA,NA,NA,0.952372740782937,NA,NA,NA,NA
"Mississippi","linear_increase_sd","Past",2020-03-12,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-12,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-12,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-12,"cumulative_cases",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-12,"cumulative_cases",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-12,"cumulative_cases",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-12,"cumulative_deaths",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-12,"cumulative_deaths",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-12,"cumulative_deaths",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-12,"cumulative_hosps",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-12,"cumulative_hosps",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-12,"cumulative_hosps",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-12,"daily_all_infections",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-12,"daily_all_infections",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-12,"daily_all_infections",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-12,"daily_cases",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-12,"daily_cases",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-12,"daily_cases",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-12,"daily_deaths",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-12,"daily_deaths",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-12,"daily_deaths",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-12,"daily_hosps",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-12,"daily_hosps",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-12,"daily_hosps",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-12,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Mississippi","return_normal","Past",2020-03-12,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Mississippi","status_quo","Past",2020-03-12,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Mississippi","linear_increase_sd","Past",2020-03-12,"mobility_trend",NA,NA,NA,0.952372740782937,NA,NA,NA,NA
"Mississippi","return_normal","Past",2020-03-12,"mobility_trend",NA,NA,NA,0.952372740782937,NA,NA,NA,NA
"Mississippi","status_quo","Past",2020-03-12,"mobility_trend",NA,NA,NA,0.952372740782937,NA,NA,NA,NA
"Mississippi",NA,"Past",2020-03-13,"actual_cumulative_cases",NA,NA,NA,4,NA,NA,NA,NA
"Mississippi",NA,"Past",2020-03-13,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Mississippi",NA,"Past",2020-03-13,"actual_daily_cases",NA,NA,NA,3,NA,NA,NA,NA
"Mississippi",NA,"Past",2020-03-13,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Mississippi","linear_increase_sd","Past",2020-03-13,"combined_trend",NA,NA,NA,0.124462473302202,NA,NA,NA,NA
"Mississippi","return_normal","Past",2020-03-13,"combined_trend",NA,NA,NA,0.124462473302202,NA,NA,NA,NA
"Mississippi","status_quo","Past",2020-03-13,"combined_trend",NA,NA,NA,0.124462473302202,NA,NA,NA,NA
"Mississippi","linear_increase_sd","Past",2020-03-13,"cumulative_all_infections",733,733,733,733,733,733,733,733
"Mississippi","return_normal","Past",2020-03-13,"cumulative_all_infections",733,733,733,733,733,733,733,733
"Mississippi","status_quo","Past",2020-03-13,"cumulative_all_infections",733,733,733,733,733,733,733,733
"Mississippi","linear_increase_sd","Past",2020-03-13,"cumulative_cases",2,2,2,2,2,2,2,2
"Mississippi","return_normal","Past",2020-03-13,"cumulative_cases",2,2,2,2,2,2,2,2
"Mississippi","status_quo","Past",2020-03-13,"cumulative_cases",2,2,2,2,2,2,2,2
"Mississippi","linear_increase_sd","Past",2020-03-13,"cumulative_deaths",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-13,"cumulative_deaths",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-13,"cumulative_deaths",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-13,"cumulative_hosps",1,1,1,1,1,1,1,1
"Mississippi","return_normal","Past",2020-03-13,"cumulative_hosps",1,1,1,1,1,1,1,1
"Mississippi","status_quo","Past",2020-03-13,"cumulative_hosps",1,1,1,1,1,1,1,1
"Mississippi","linear_increase_sd","Past",2020-03-13,"daily_all_infections",733,733,733,733,733,733,733,733
"Mississippi","return_normal","Past",2020-03-13,"daily_all_infections",733,733,733,733,733,733,733,733
"Mississippi","status_quo","Past",2020-03-13,"daily_all_infections",733,733,733,733,733,733,733,733
"Mississippi","linear_increase_sd","Past",2020-03-13,"daily_cases",2,2,2,2,2,2,2,2
"Mississippi","return_normal","Past",2020-03-13,"daily_cases",2,2,2,2,2,2,2,2
"Mississippi","status_quo","Past",2020-03-13,"daily_cases",2,2,2,2,2,2,2,2
"Mississippi","linear_increase_sd","Past",2020-03-13,"daily_deaths",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-13,"daily_deaths",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-13,"daily_deaths",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-13,"daily_hosps",1,1,1,1,1,1,1,1
"Mississippi","return_normal","Past",2020-03-13,"daily_hosps",1,1,1,1,1,1,1,1
"Mississippi","status_quo","Past",2020-03-13,"daily_hosps",1,1,1,1,1,1,1,1
"Mississippi","linear_increase_sd","Past",2020-03-13,"latent_trend",NA,NA,NA,0.132511898436068,NA,NA,NA,NA
"Mississippi","return_normal","Past",2020-03-13,"latent_trend",NA,NA,NA,0.132511898436068,NA,NA,NA,NA
"Mississippi","status_quo","Past",2020-03-13,"latent_trend",NA,NA,NA,0.132511898436068,NA,NA,NA,NA
"Mississippi","linear_increase_sd","Past",2020-03-13,"mobility_trend",NA,NA,NA,0.939255076496022,NA,NA,NA,NA
"Mississippi","return_normal","Past",2020-03-13,"mobility_trend",NA,NA,NA,0.939255076496022,NA,NA,NA,NA
"Mississippi","status_quo","Past",2020-03-13,"mobility_trend",NA,NA,NA,0.939255076496022,NA,NA,NA,NA
"Mississippi",NA,"Past",2020-03-14,"actual_cumulative_cases",NA,NA,NA,6,NA,NA,NA,NA
"Mississippi",NA,"Past",2020-03-14,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Mississippi",NA,"Past",2020-03-14,"actual_daily_cases",NA,NA,NA,2,NA,NA,NA,NA
"Mississippi",NA,"Past",2020-03-14,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Mississippi","linear_increase_sd","Past",2020-03-14,"combined_trend",NA,NA,NA,0.143172493947584,NA,NA,NA,NA
"Mississippi","return_normal","Past",2020-03-14,"combined_trend",NA,NA,NA,0.143172493947584,NA,NA,NA,NA
"Mississippi","status_quo","Past",2020-03-14,"combined_trend",NA,NA,NA,0.143172493947584,NA,NA,NA,NA
"Mississippi","linear_increase_sd","Past",2020-03-14,"cumulative_all_infections",1443,1443,1443,1443,1443,1443,1443,1443
"Mississippi","return_normal","Past",2020-03-14,"cumulative_all_infections",1443,1443,1443,1443,1443,1443,1443,1443
"Mississippi","status_quo","Past",2020-03-14,"cumulative_all_infections",1443,1443,1443,1443,1443,1443,1443,1443
"Mississippi","linear_increase_sd","Past",2020-03-14,"cumulative_cases",4,4,4,4,4,4,4,4
"Mississippi","return_normal","Past",2020-03-14,"cumulative_cases",4,4,4,4,4,4,4,4
"Mississippi","status_quo","Past",2020-03-14,"cumulative_cases",4,4,4,4,4,4,4,4
"Mississippi","linear_increase_sd","Past",2020-03-14,"cumulative_deaths",0,0,0,0,0,0,0,0
"Mississippi","return_normal","Past",2020-03-14,"cumulative_deaths",0,0,0,0,0,0,0,0
"Mississippi","status_quo","Past",2020-03-14,"cumulative_deaths",0,0,0,0,0,0,0,0
"Mississippi","linear_increase_sd","Past",2020-03-14,"cumulative_hosps",2,2,2,2,2,2,2,2
"Mississippi","return_normal","Past",2020-03-14,"cumulative_hosps",2,2,2,2,2,2,2,2
"Mississippi","status_quo","Past",2020-03-14,"cumulative_hosps",2,2,2,2,2,2,2,2
"Mississippi","linear_increase_sd","Past",2020-03-14,"daily_all_infections",710,710,710,710,710,710,710,710
"Mississippi","return_normal","Past",2020-03-14,"daily_all_infections",710,710,710,710,710,710,710,710
"Mississippi","status_quo","Past",2020-03-14,"daily_all_infections",710,710,710,710,710,710,710,710
"Mississippi","linear_increase_sd","Past",2020-03-14,"daily_cases",2,2,2,2,2,2,2,2
"Mississippi","return_normal","Past",2020-03-14,"daily_cases",2,2,2,2,2,2,2,2
"Mississippi","status_quo","Past",2020-03-14,"daily_cases",2,2,2,2,2,2,2,2
"Mississippi","linear_increase_sd","Past",2020-03-14,"daily_deaths",0,0,0,0,0,0,0,0
