"","location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95","mobility_trend","latent_trend"
"1","Florida","data","Past",2020-03-04,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.710849552801723,1
"2","Florida","data","Past",2020-03-04,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.710849552801723,1
"3","Florida","data","Past",2020-03-05,"daily_cases",NA,NA,NA,7,NA,NA,NA,NA,0.714053220020415,0.916827303506078
"4","Florida","data","Past",2020-03-05,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.714053220020415,0.916827303506078
"5","Florida","data","Past",2020-03-06,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA,0.870252743257443,0.900249510880315
"6","Florida","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.870252743257443,0.900249510880315
"7","Florida","data","Past",2020-03-07,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA,0.701766756801063,0.858148935099512
"8","Florida","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.701766756801063,0.858148935099512
"9","Florida","data","Past",2020-03-08,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA,0.722812779166816,0.858148935099512
"10","Florida","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.722812779166816,0.858148935099512
"11","Florida","data","Past",2020-03-09,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.815189000547372,0.858148935099512
"12","Florida","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.815189000547372,0.858148935099512
"13","Florida","data","Past",2020-03-10,"daily_cases",NA,NA,NA,1,NA,NA,NA,NA,0.77285125379803,0.858148935099512
"14","Florida","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.77285125379803,0.858148935099512
"15","Florida","data","Past",2020-03-11,"daily_cases",NA,NA,NA,9,NA,NA,NA,NA,0.819306863604798,0.832018385133924
"16","Florida","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA,0.819306863604798,0.832018385133924
"17","Florida","data","Past",2020-03-12,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA,0.740285545077719,0.802183888558582
"18","Florida","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.740285545077719,0.802183888558582
"19","Florida","data","Past",2020-03-13,"daily_cases",NA,NA,NA,18,NA,NA,NA,NA,0.634747296516948,0.768524783499018
"20","Florida","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA,0.634747296516948,0.768524783499018
"21","Florida","data","Past",2020-03-14,"daily_cases",NA,NA,NA,27,NA,NA,NA,NA,0.760685446422042,0.768524783499018
"22","Florida","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.760685446422042,0.768524783499018
"23","Florida","data","Past",2020-03-15,"daily_cases",NA,NA,NA,39,NA,NA,NA,NA,0.690445774847473,0.689974481127613
"24","Florida","data","Past",2020-03-15,"daily_deaths",NA,NA,NA,1,NA,NA,NA,NA,0.690445774847473,0.689974481127613
"25","Florida","data","Past",2020-03-16,"daily_cases",NA,NA,NA,25,NA,NA,NA,NA,0.763361973153852,0.645656306225795
