"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"Utah",NA,"Past",2020-03-07,"actual_cumulative_cases",NA,NA,NA,1,NA,NA,NA,NA
"Utah",NA,"Past",2020-03-07,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Utah",NA,"Past",2020-03-07,"actual_daily_cases",NA,NA,NA,1,NA,NA,NA,NA
"Utah",NA,"Past",2020-03-07,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Utah","linear_increase_sd","Past",2020-03-07,"combined_trend",NA,NA,NA,0.94170038920533,NA,NA,NA,NA
"Utah","return_normal","Past",2020-03-07,"combined_trend",NA,NA,NA,0.94170038920533,NA,NA,NA,NA
"Utah","status_quo","Past",2020-03-07,"combined_trend",NA,NA,NA,0.94170038920533,NA,NA,NA,NA
"Utah","linear_increase_sd","Past",2020-03-07,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Utah","return_normal","Past",2020-03-07,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Utah","status_quo","Past",2020-03-07,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Utah","linear_increase_sd","Past",2020-03-07,"cumulative_cases",0,0,0,0,0,0,0,0
"Utah","return_normal","Past",2020-03-07,"cumulative_cases",0,0,0,0,0,0,0,0
"Utah","status_quo","Past",2020-03-07,"cumulative_cases",0,0,0,0,0,0,0,0
"Utah","linear_increase_sd","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"Utah","return_normal","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"Utah","status_quo","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"Utah","linear_increase_sd","Past",2020-03-07,"cumulative_hosps",0,0,0,0,0,0,0,0
"Utah","return_normal","Past",2020-03-07,"cumulative_hosps",0,0,0,0,0,0,0,0
"Utah","status_quo","Past",2020-03-07,"cumulative_hosps",0,0,0,0,0,0,0,0
"Utah","linear_increase_sd","Past",2020-03-07,"daily_all_infections",0,0,0,0,0,0,0,0
"Utah","return_normal","Past",2020-03-07,"daily_all_infections",0,0,0,0,0,0,0,0
"Utah","status_quo","Past",2020-03-07,"daily_all_infections",0,0,0,0,0,0,0,0
"Utah","linear_increase_sd","Past",2020-03-07,"daily_cases",0,0,0,0,0,0,0,0
"Utah","return_normal","Past",2020-03-07,"daily_cases",0,0,0,0,0,0,0,0
"Utah","status_quo","Past",2020-03-07,"daily_cases",0,0,0,0,0,0,0,0
"Utah","linear_increase_sd","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"Utah","return_normal","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"Utah","status_quo","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"Utah","linear_increase_sd","Past",2020-03-07,"daily_hosps",0,0,0,0,0,0,0,0
"Utah","return_normal","Past",2020-03-07,"daily_hosps",0,0,0,0,0,0,0,0
"Utah","status_quo","Past",2020-03-07,"daily_hosps",0,0,0,0,0,0,0,0
"Utah","linear_increase_sd","Past",2020-03-07,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Utah","return_normal","Past",2020-03-07,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Utah","status_quo","Past",2020-03-07,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Utah","linear_increase_sd","Past",2020-03-07,"mobility_trend",NA,NA,NA,0.94170038920533,NA,NA,NA,NA
"Utah","return_normal","Past",2020-03-07,"mobility_trend",NA,NA,NA,0.94170038920533,NA,NA,NA,NA
"Utah","status_quo","Past",2020-03-07,"mobility_trend",NA,NA,NA,0.94170038920533,NA,NA,NA,NA
"Utah",NA,"Past",2020-03-08,"actual_cumulative_cases",NA,NA,NA,1,NA,NA,NA,NA
"Utah",NA,"Past",2020-03-08,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Utah",NA,"Past",2020-03-08,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Utah",NA,"Past",2020-03-08,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Utah","linear_increase_sd","Past",2020-03-08,"combined_trend",NA,NA,NA,0.926559208623416,NA,NA,NA,NA
"Utah","return_normal","Past",2020-03-08,"combined_trend",NA,NA,NA,0.926559208623416,NA,NA,NA,NA
"Utah","status_quo","Past",2020-03-08,"combined_trend",NA,NA,NA,0.926559208623416,NA,NA,NA,NA
"Utah","linear_increase_sd","Past",2020-03-08,"cumulative_all_infections",82,82,82,82,82,82,82,82
"Utah","return_normal","Past",2020-03-08,"cumulative_all_infections",82,82,82,82,82,82,82,82
"Utah","status_quo","Past",2020-03-08,"cumulative_all_infections",82,82,82,82,82,82,82,82
"Utah","linear_increase_sd","Past",2020-03-08,"cumulative_cases",2,2,2,2,2,2,2,2
"Utah","return_normal","Past",2020-03-08,"cumulative_cases",2,2,2,2,2,2,2,2
"Utah","status_quo","Past",2020-03-08,"cumulative_cases",2,2,2,2,2,2,2,2
"Utah","linear_increase_sd","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"Utah","return_normal","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"Utah","status_quo","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"Utah","linear_increase_sd","Past",2020-03-08,"cumulative_hosps",1,1,1,1,1,1,1,1
"Utah","return_normal","Past",2020-03-08,"cumulative_hosps",1,1,1,1,1,1,1,1
"Utah","status_quo","Past",2020-03-08,"cumulative_hosps",1,1,1,1,1,1,1,1
"Utah","linear_increase_sd","Past",2020-03-08,"daily_all_infections",82,82,82,82,82,82,82,82
"Utah","return_normal","Past",2020-03-08,"daily_all_infections",82,82,82,82,82,82,82,82
"Utah","status_quo","Past",2020-03-08,"daily_all_infections",82,82,82,82,82,82,82,82
"Utah","linear_increase_sd","Past",2020-03-08,"daily_cases",2,2,2,2,2,2,2,2
"Utah","return_normal","Past",2020-03-08,"daily_cases",2,2,2,2,2,2,2,2
"Utah","status_quo","Past",2020-03-08,"daily_cases",2,2,2,2,2,2,2,2
"Utah","linear_increase_sd","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"Utah","return_normal","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"Utah","status_quo","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"Utah","linear_increase_sd","Past",2020-03-08,"daily_hosps",1,1,1,1,1,1,1,1
"Utah","return_normal","Past",2020-03-08,"daily_hosps",1,1,1,1,1,1,1,1
"Utah","status_quo","Past",2020-03-08,"daily_hosps",1,1,1,1,1,1,1,1
"Utah","linear_increase_sd","Past",2020-03-08,"latent_trend",NA,NA,NA,0.995599041573835,NA,NA,NA,NA
"Utah","return_normal","Past",2020-03-08,"latent_trend",NA,NA,NA,0.995599041573835,NA,NA,NA,NA
"Utah","status_quo","Past",2020-03-08,"latent_trend",NA,NA,NA,0.995599041573835,NA,NA,NA,NA
"Utah","linear_increase_sd","Past",2020-03-08,"mobility_trend",NA,NA,NA,0.930654982510547,NA,NA,NA,NA
"Utah","return_normal","Past",2020-03-08,"mobility_trend",NA,NA,NA,0.930654982510547,NA,NA,NA,NA
"Utah","status_quo","Past",2020-03-08,"mobility_trend",NA,NA,NA,0.930654982510547,NA,NA,NA,NA
"Utah",NA,"Past",2020-03-09,"actual_cumulative_cases",NA,NA,NA,1,NA,NA,NA,NA
"Utah",NA,"Past",2020-03-09,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Utah",NA,"Past",2020-03-09,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Utah",NA,"Past",2020-03-09,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Utah","linear_increase_sd","Past",2020-03-09,"combined_trend",NA,NA,NA,0.913908496566485,NA,NA,NA,NA
"Utah","return_normal","Past",2020-03-09,"combined_trend",NA,NA,NA,0.913908496566485,NA,NA,NA,NA
"Utah","status_quo","Past",2020-03-09,"combined_trend",NA,NA,NA,0.913908496566485,NA,NA,NA,NA
"Utah","linear_increase_sd","Past",2020-03-09,"cumulative_all_infections",155,155,155,155,155,155,155,155
"Utah","return_normal","Past",2020-03-09,"cumulative_all_infections",155,155,155,155,155,155,155,155
"Utah","status_quo","Past",2020-03-09,"cumulative_all_infections",155,155,155,155,155,155,155,155
"Utah","linear_increase_sd","Past",2020-03-09,"cumulative_cases",3,3,3,3,3,3,3,3
"Utah","return_normal","Past",2020-03-09,"cumulative_cases",3,3,3,3,3,3,3,3
"Utah","status_quo","Past",2020-03-09,"cumulative_cases",3,3,3,3,3,3,3,3
"Utah","linear_increase_sd","Past",2020-03-09,"cumulative_deaths",0,0,0,0,0,0,0,0
"Utah","return_normal","Past",2020-03-09,"cumulative_deaths",0,0,0,0,0,0,0,0
"Utah","status_quo","Past",2020-03-09,"cumulative_deaths",0,0,0,0,0,0,0,0
"Utah","linear_increase_sd","Past",2020-03-09,"cumulative_hosps",2,2,2,2,2,2,2,2
"Utah","return_normal","Past",2020-03-09,"cumulative_hosps",2,2,2,2,2,2,2,2
"Utah","status_quo","Past",2020-03-09,"cumulative_hosps",2,2,2,2,2,2,2,2
