"location","sim_type","period","date","variable","lower_95","lower_90","lower_80","mean_value","median_value","upper_80","upper_90","upper_95"
"New Jersey","data","Past",2020-03-05,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-05,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-06,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-06,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-07,"daily_cases",NA,NA,NA,3,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-07,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-08,"daily_cases",NA,NA,NA,2,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-08,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-09,"daily_cases",NA,NA,NA,5,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-09,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-10,"daily_cases",NA,NA,NA,4,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-10,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-11,"daily_cases",NA,NA,NA,9,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-11,"daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-12,"daily_cases",NA,NA,NA,6,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-12,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-13,"daily_cases",NA,NA,NA,20,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-13,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-14,"daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-14,"daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"New Jersey","data","Past",2020-03-15,"daily_cases",NA,NA,NA,48,NA,NA,NA,NA
