"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"Arizona",NA,"Past",2020-03-04,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Arizona",NA,"Past",2020-03-04,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Arizona",NA,"Past",2020-03-04,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Arizona",NA,"Past",2020-03-04,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Arizona","linear_increase_sd","Past",2020-03-04,"combined_trend",NA,NA,NA,1,NA,NA,NA,NA
"Arizona","return_normal","Past",2020-03-04,"combined_trend",NA,NA,NA,1,NA,NA,NA,NA
"Arizona","status_quo","Past",2020-03-04,"combined_trend",NA,NA,NA,1,NA,NA,NA,NA
"Arizona","linear_increase_sd","Past",2020-03-04,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Arizona","return_normal","Past",2020-03-04,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Arizona","status_quo","Past",2020-03-04,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Arizona","linear_increase_sd","Past",2020-03-04,"cumulative_cases",0,0,0,0,0,0,0,0
"Arizona","return_normal","Past",2020-03-04,"cumulative_cases",0,0,0,0,0,0,0,0
"Arizona","status_quo","Past",2020-03-04,"cumulative_cases",0,0,0,0,0,0,0,0
"Arizona","linear_increase_sd","Past",2020-03-04,"cumulative_deaths",0,0,0,0,0,0,0,0
"Arizona","return_normal","Past",2020-03-04,"cumulative_deaths",0,0,0,0,0,0,0,0
"Arizona","status_quo","Past",2020-03-04,"cumulative_deaths",0,0,0,0,0,0,0,0
"Arizona","linear_increase_sd","Past",2020-03-04,"cumulative_hosps",0,0,0,0,0,0,0,0
"Arizona","return_normal","Past",2020-03-04,"cumulative_hosps",0,0,0,0,0,0,0,0
"Arizona","status_quo","Past",2020-03-04,"cumulative_hosps",0,0,0,0,0,0,0,0
"Arizona","linear_increase_sd","Past",2020-03-04,"daily_all_infections",0,0,0,0,0,0,0,0
"Arizona","return_normal","Past",2020-03-04,"daily_all_infections",0,0,0,0,0,0,0,0
"Arizona","status_quo","Past",2020-03-04,"daily_all_infections",0,0,0,0,0,0,0,0
"Arizona","linear_increase_sd","Past",2020-03-04,"daily_cases",0,0,0,0,0,0,0,0
"Arizona","return_normal","Past",2020-03-04,"daily_cases",0,0,0,0,0,0,0,0
"Arizona","status_quo","Past",2020-03-04,"daily_cases",0,0,0,0,0,0,0,0
"Arizona","linear_increase_sd","Past",2020-03-04,"daily_deaths",0,0,0,0,0,0,0,0
"Arizona","return_normal","Past",2020-03-04,"daily_deaths",0,0,0,0,0,0,0,0
"Arizona","status_quo","Past",2020-03-04,"daily_deaths",0,0,0,0,0,0,0,0
"Arizona","linear_increase_sd","Past",2020-03-04,"daily_hosps",0,0,0,0,0,0,0,0
"Arizona","return_normal","Past",2020-03-04,"daily_hosps",0,0,0,0,0,0,0,0
"Arizona","status_quo","Past",2020-03-04,"daily_hosps",0,0,0,0,0,0,0,0
"Arizona","linear_increase_sd","Past",2020-03-04,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Arizona","return_normal","Past",2020-03-04,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Arizona","status_quo","Past",2020-03-04,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Arizona","linear_increase_sd","Past",2020-03-04,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"Arizona","return_normal","Past",2020-03-04,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"Arizona","status_quo","Past",2020-03-04,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"Arizona",NA,"Past",2020-03-05,"actual_cumulative_cases",NA,NA,NA,0,NA,NA,NA,NA
"Arizona",NA,"Past",2020-03-05,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Arizona",NA,"Past",2020-03-05,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Arizona",NA,"Past",2020-03-05,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Arizona","linear_increase_sd","Past",2020-03-05,"combined_trend",NA,NA,NA,0.992308616677232,NA,NA,NA,NA
"Arizona","return_normal","Past",2020-03-05,"combined_trend",NA,NA,NA,0.992308616677232,NA,NA,NA,NA
"Arizona","status_quo","Past",2020-03-05,"combined_trend",NA,NA,NA,0.992308616677232,NA,NA,NA,NA
"Arizona","linear_increase_sd","Past",2020-03-05,"cumulative_all_infections",55,55,55,57,56,59,59,59
"Arizona","return_normal","Past",2020-03-05,"cumulative_all_infections",55,55,55,57,56,59,59,59
"Arizona","status_quo","Past",2020-03-05,"cumulative_all_infections",55,55,55,57,56,59,59,59
"Arizona","linear_increase_sd","Past",2020-03-05,"cumulative_cases",2,2,2,2,2,2,2,2
"Arizona","return_normal","Past",2020-03-05,"cumulative_cases",2,2,2,2,2,2,2,2
"Arizona","status_quo","Past",2020-03-05,"cumulative_cases",2,2,2,2,2,2,2,2
"Arizona","linear_increase_sd","Past",2020-03-05,"cumulative_deaths",0,0,0,0,0,0,0,0
"Arizona","return_normal","Past",2020-03-05,"cumulative_deaths",0,0,0,0,0,0,0,0
"Arizona","status_quo","Past",2020-03-05,"cumulative_deaths",0,0,0,0,0,0,0,0
"Arizona","linear_increase_sd","Past",2020-03-05,"cumulative_hosps",1,1,1,1,1,1,1,1
"Arizona","return_normal","Past",2020-03-05,"cumulative_hosps",1,1,1,1,1,1,1,1
"Arizona","status_quo","Past",2020-03-05,"cumulative_hosps",1,1,1,1,1,1,1,1
"Arizona","linear_increase_sd","Past",2020-03-05,"daily_all_infections",55,55,55,57,56,59,59,59
"Arizona","return_normal","Past",2020-03-05,"daily_all_infections",55,55,55,57,56,59,59,59
"Arizona","status_quo","Past",2020-03-05,"daily_all_infections",55,55,55,57,56,59,59,59
"Arizona","linear_increase_sd","Past",2020-03-05,"daily_cases",2,2,2,2,2,2,2,2
"Arizona","return_normal","Past",2020-03-05,"daily_cases",2,2,2,2,2,2,2,2
"Arizona","status_quo","Past",2020-03-05,"daily_cases",2,2,2,2,2,2,2,2
"Arizona","linear_increase_sd","Past",2020-03-05,"daily_deaths",0,0,0,0,0,0,0,0
"Arizona","return_normal","Past",2020-03-05,"daily_deaths",0,0,0,0,0,0,0,0
"Arizona","status_quo","Past",2020-03-05,"daily_deaths",0,0,0,0,0,0,0,0
"Arizona","linear_increase_sd","Past",2020-03-05,"daily_hosps",1,1,1,1,1,1,1,1
"Arizona","return_normal","Past",2020-03-05,"daily_hosps",1,1,1,1,1,1,1,1
"Arizona","status_quo","Past",2020-03-05,"daily_hosps",1,1,1,1,1,1,1,1
"Arizona","linear_increase_sd","Past",2020-03-05,"latent_trend",NA,NA,NA,0.992308616677232,NA,NA,NA,NA
"Arizona","return_normal","Past",2020-03-05,"latent_trend",NA,NA,NA,0.992308616677232,NA,NA,NA,NA
"Arizona","status_quo","Past",2020-03-05,"latent_trend",NA,NA,NA,0.992308616677232,NA,NA,NA,NA
"Arizona","linear_increase_sd","Past",2020-03-05,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"Arizona","return_normal","Past",2020-03-05,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"Arizona","status_quo","Past",2020-03-05,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"Arizona",NA,"Past",2020-03-06,"actual_cumulative_cases",NA,NA,NA,1,NA,NA,NA,NA
"Arizona",NA,"Past",2020-03-06,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Arizona",NA,"Past",2020-03-06,"actual_daily_cases",NA,NA,NA,1,NA,NA,NA,NA
"Arizona",NA,"Past",2020-03-06,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Arizona","linear_increase_sd","Past",2020-03-06,"combined_trend",NA,NA,NA,0.990828136821468,NA,NA,NA,NA
"Arizona","return_normal","Past",2020-03-06,"combined_trend",NA,NA,NA,0.990828136821468,NA,NA,NA,NA
