"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"Louisiana",NA,"Past",2020-03-09,"actual_cumulative_cases",NA,NA,NA,1,NA,NA,NA,NA
"Louisiana",NA,"Past",2020-03-09,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Louisiana",NA,"Past",2020-03-09,"actual_daily_cases",NA,NA,NA,1,NA,NA,NA,NA
"Louisiana",NA,"Past",2020-03-09,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Louisiana","linear_increase_sd","Past",2020-03-09,"combined_trend",NA,NA,NA,0.954260195061165,NA,NA,NA,NA
"Louisiana","return_normal","Past",2020-03-09,"combined_trend",NA,NA,NA,0.954260195061165,NA,NA,NA,NA
"Louisiana","status_quo","Past",2020-03-09,"combined_trend",NA,NA,NA,0.954260195061165,NA,NA,NA,NA
"Louisiana","linear_increase_sd","Past",2020-03-09,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Louisiana","return_normal","Past",2020-03-09,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Louisiana","status_quo","Past",2020-03-09,"cumulative_all_infections",0,0,0,0,0,0,0,0
"Louisiana","linear_increase_sd","Past",2020-03-09,"cumulative_cases",0,0,0,0,0,0,0,0
"Louisiana","return_normal","Past",2020-03-09,"cumulative_cases",0,0,0,0,0,0,0,0
"Louisiana","status_quo","Past",2020-03-09,"cumulative_cases",0,0,0,0,0,0,0,0
"Louisiana","linear_increase_sd","Past",2020-03-09,"cumulative_deaths",0,0,0,0,0,0,0,0
"Louisiana","return_normal","Past",2020-03-09,"cumulative_deaths",0,0,0,0,0,0,0,0
"Louisiana","status_quo","Past",2020-03-09,"cumulative_deaths",0,0,0,0,0,0,0,0
"Louisiana","linear_increase_sd","Past",2020-03-09,"cumulative_hosps",0,0,0,0,0,0,0,0
"Louisiana","return_normal","Past",2020-03-09,"cumulative_hosps",0,0,0,0,0,0,0,0
"Louisiana","status_quo","Past",2020-03-09,"cumulative_hosps",0,0,0,0,0,0,0,0
"Louisiana","linear_increase_sd","Past",2020-03-09,"daily_all_infections",0,0,0,0,0,0,0,0
"Louisiana","return_normal","Past",2020-03-09,"daily_all_infections",0,0,0,0,0,0,0,0
"Louisiana","status_quo","Past",2020-03-09,"daily_all_infections",0,0,0,0,0,0,0,0
"Louisiana","linear_increase_sd","Past",2020-03-09,"daily_cases",0,0,0,0,0,0,0,0
"Louisiana","return_normal","Past",2020-03-09,"daily_cases",0,0,0,0,0,0,0,0
"Louisiana","status_quo","Past",2020-03-09,"daily_cases",0,0,0,0,0,0,0,0
"Louisiana","linear_increase_sd","Past",2020-03-09,"daily_deaths",0,0,0,0,0,0,0,0
"Louisiana","return_normal","Past",2020-03-09,"daily_deaths",0,0,0,0,0,0,0,0
"Louisiana","status_quo","Past",2020-03-09,"daily_deaths",0,0,0,0,0,0,0,0
"Louisiana","linear_increase_sd","Past",2020-03-09,"daily_hosps",0,0,0,0,0,0,0,0
"Louisiana","return_normal","Past",2020-03-09,"daily_hosps",0,0,0,0,0,0,0,0
"Louisiana","status_quo","Past",2020-03-09,"daily_hosps",0,0,0,0,0,0,0,0
"Louisiana","linear_increase_sd","Past",2020-03-09,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Louisiana","return_normal","Past",2020-03-09,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Louisiana","status_quo","Past",2020-03-09,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Louisiana","linear_increase_sd","Past",2020-03-09,"mobility_trend",NA,NA,NA,0.954260195061165,NA,NA,NA,NA
"Louisiana","return_normal","Past",2020-03-09,"mobility_trend",NA,NA,NA,0.954260195061165,NA,NA,NA,NA
"Louisiana","status_quo","Past",2020-03-09,"mobility_trend",NA,NA,NA,0.954260195061165,NA,NA,NA,NA
"Louisiana",NA,"Past",2020-03-10,"actual_cumulative_cases",NA,NA,NA,1,NA,NA,NA,NA
"Louisiana",NA,"Past",2020-03-10,"actual_cumulative_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Louisiana",NA,"Past",2020-03-10,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Louisiana",NA,"Past",2020-03-10,"actual_daily_deaths",NA,NA,NA,0,NA,NA,NA,NA
"Louisiana","linear_increase_sd","Past",2020-03-10,"combined_trend",NA,NA,NA,0.937816309826618,NA,NA,NA,NA
"Louisiana","return_normal","Past",2020-03-10,"combined_trend",NA,NA,NA,0.937816309826618,NA,NA,NA,NA
"Louisiana","status_quo","Past",2020-03-10,"combined_trend",NA,NA,NA,0.937816309826618,NA,NA,NA,NA
"Louisiana","linear_increase_sd","Past",2020-03-10,"cumulative_all_infections",432,432,432,432,432,432,432,432
"Louisiana","return_normal","Past",2020-03-10,"cumulative_all_infections",432,432,432,432,432,432,432,432
"Louisiana","status_quo","Past",2020-03-10,"cumulative_all_infections",432,432,432,432,432,432,432,432
"Louisiana","linear_increase_sd","Past",2020-03-10,"cumulative_cases",3,3,3,3,3,3,3,3
"Louisiana","return_normal","Past",2020-03-10,"cumulative_cases",3,3,3,3,3,3,3,3
"Louisiana","status_quo","Past",2020-03-10,"cumulative_cases",3,3,3,3,3,3,3,3
"Louisiana","linear_increase_sd","Past",2020-03-10,"cumulative_deaths",0,0,0,0,0,0,0,0
"Louisiana","return_normal","Past",2020-03-10,"cumulative_deaths",0,0,0,0,0,0,0,0
"Louisiana","status_quo","Past",2020-03-10,"cumulative_deaths",0,0,0,0,0,0,0,0
"Louisiana","linear_increase_sd","Past",2020-03-10,"cumulative_hosps",1,1,1,1,1,1,1,1
"Louisiana","return_normal","Past",2020-03-10,"cumulative_hosps",1,1,1,1,1,1,1,1
"Louisiana","status_quo","Past",2020-03-10,"cumulative_hosps",1,1,1,1,1,1,1,1
"Louisiana","linear_increase_sd","Past",2020-03-10,"daily_all_infections",432,432,432,432,432,432,432,432
"Louisiana","return_normal","Past",2020-03-10,"daily_all_infections",432,432,432,432,432,432,432,432
"Louisiana","status_quo","Past",2020-03-10,"daily_all_infections",432,432,432,432,432,432,432,432
"Louisiana","linear_increase_sd","Past",2020-03-10,"daily_cases",3,3,3,3,3,3,3,3
"Louisiana","return_normal","Past",2020-03-10,"daily_cases",3,3,3,3,3,3,3,3
"Louisiana","status_quo","Past",2020-03-10,"daily_cases",3,3,3,3,3,3,3,3
"Louisiana","linear_increase_sd","Past",2020-03-10,"daily_deaths",0,0,0,0,0,0,0,0
"Louisiana","return_normal","Past",2020-03-10,"daily_deaths",0,0,0,0,0,0,0,0
"Louisiana","status_quo","Past",2020-03-10,"daily_deaths",0,0,0,0,0,0,0,0
"Louisiana","linear_increase_sd","Past",2020-03-10,"daily_hosps",1,1,1,1,1,1,1,1
"Louisiana","return_normal","Past",2020-03-10,"daily_hosps",1,1,1,1,1,1,1,1
