"location","sim_type","period","date","variable","lower_80","lower_90","lower_95","mean_value","median_value","upper_80","upper_90","upper_95"
"Missouri",NA,"Past",2020-03-07,"actual_daily_cases",NA,NA,NA,0,NA,NA,NA,NA
"Missouri",NA,"Past",2020-03-07,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Missouri","linear_increase_sd","Past",2020-03-07,"combined_trend",NA,NA,NA,1,NA,NA,NA,NA
"Missouri","return_normal","Past",2020-03-07,"combined_trend",NA,NA,NA,1,NA,NA,NA,NA
"Missouri","status_quo","Past",2020-03-07,"combined_trend",NA,NA,NA,1,NA,NA,NA,NA
"Missouri","linear_increase_sd","Past",2020-03-07,"cumulative_cases",0,0,0,0,0,0,0,0
"Missouri","return_normal","Past",2020-03-07,"cumulative_cases",0,0,0,0,0,0,0,0
"Missouri","status_quo","Past",2020-03-07,"cumulative_cases",0,0,0,0,0,0,0,0
"Missouri","linear_increase_sd","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"Missouri","return_normal","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"Missouri","status_quo","Past",2020-03-07,"cumulative_deaths",0,0,0,0,0,0,0,0
"Missouri","linear_increase_sd","Past",2020-03-07,"cumulative_hosps",0,0,0,0,0,0,0,0
"Missouri","return_normal","Past",2020-03-07,"cumulative_hosps",0,0,0,0,0,0,0,0
"Missouri","status_quo","Past",2020-03-07,"cumulative_hosps",0,0,0,0,0,0,0,0
"Missouri","linear_increase_sd","Past",2020-03-07,"daily_all_infections",0,0,0,0,0,0,0,0
"Missouri","return_normal","Past",2020-03-07,"daily_all_infections",0,0,0,0,0,0,0,0
"Missouri","status_quo","Past",2020-03-07,"daily_all_infections",0,0,0,0,0,0,0,0
"Missouri","linear_increase_sd","Past",2020-03-07,"daily_cases",0,0,0,0,0,0,0,0
"Missouri","return_normal","Past",2020-03-07,"daily_cases",0,0,0,0,0,0,0,0
"Missouri","status_quo","Past",2020-03-07,"daily_cases",0,0,0,0,0,0,0,0
"Missouri","linear_increase_sd","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"Missouri","return_normal","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"Missouri","status_quo","Past",2020-03-07,"daily_deaths",0,0,0,0,0,0,0,0
"Missouri","linear_increase_sd","Past",2020-03-07,"daily_hosps",0,0,0,0,0,0,0,0
"Missouri","return_normal","Past",2020-03-07,"daily_hosps",0,0,0,0,0,0,0,0
"Missouri","status_quo","Past",2020-03-07,"daily_hosps",0,0,0,0,0,0,0,0
"Missouri","linear_increase_sd","Past",2020-03-07,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Missouri","return_normal","Past",2020-03-07,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Missouri","status_quo","Past",2020-03-07,"latent_trend",NA,NA,NA,1,NA,NA,NA,NA
"Missouri","linear_increase_sd","Past",2020-03-07,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"Missouri","return_normal","Past",2020-03-07,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"Missouri","status_quo","Past",2020-03-07,"mobility_trend",NA,NA,NA,1,NA,NA,NA,NA
"Missouri",NA,"Past",2020-03-08,"actual_daily_cases",NA,NA,NA,1,NA,NA,NA,NA
"Missouri",NA,"Past",2020-03-08,"actual_daily_deaths",NA,NA,NA,NA,NA,NA,NA,NA
"Missouri","linear_increase_sd","Past",2020-03-08,"combined_trend",NA,NA,NA,0.999039139585212,NA,NA,NA,NA
"Missouri","return_normal","Past",2020-03-08,"combined_trend",NA,NA,NA,0.999039139585212,NA,NA,NA,NA
"Missouri","status_quo","Past",2020-03-08,"combined_trend",NA,NA,NA,0.999039139585212,NA,NA,NA,NA
"Missouri","linear_increase_sd","Past",2020-03-08,"cumulative_cases",2,2,2,2,2,2,2,2
"Missouri","return_normal","Past",2020-03-08,"cumulative_cases",2,2,2,2,2,2,2,2
"Missouri","status_quo","Past",2020-03-08,"cumulative_cases",2,2,2,2,2,2,2,2
"Missouri","linear_increase_sd","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"Missouri","return_normal","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"Missouri","status_quo","Past",2020-03-08,"cumulative_deaths",0,0,0,0,0,0,0,0
"Missouri","linear_increase_sd","Past",2020-03-08,"cumulative_hosps",1,1,1,1,1,1,1,1
"Missouri","return_normal","Past",2020-03-08,"cumulative_hosps",1,1,1,1,1,1,1,1
"Missouri","status_quo","Past",2020-03-08,"cumulative_hosps",1,1,1,1,1,1,1,1
"Missouri","linear_increase_sd","Past",2020-03-08,"daily_all_infections",16,16,13,18,18,20,20,20
"Missouri","return_normal","Past",2020-03-08,"daily_all_infections",16,16,13,18,18,20,20,20
"Missouri","status_quo","Past",2020-03-08,"daily_all_infections",16,16,13,18,18,20,20,20
"Missouri","linear_increase_sd","Past",2020-03-08,"daily_cases",2,2,2,2,2,2,2,2
"Missouri","return_normal","Past",2020-03-08,"daily_cases",2,2,2,2,2,2,2,2
"Missouri","status_quo","Past",2020-03-08,"daily_cases",2,2,2,2,2,2,2,2
"Missouri","linear_increase_sd","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"Missouri","return_normal","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
"Missouri","status_quo","Past",2020-03-08,"daily_deaths",0,0,0,0,0,0,0,0
